




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	Crl02vSal02_NegFC_DEGs.txt (Sus scrofa)
Reference List:	FS27_BackgroundGenes.txt (Sus scrofa)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	FS27_BackgroundGenes.txt - REFLIST (12250)	Crl02vSal02_NegFC_DEGs.txt (152)	Crl02vSal02_NegFC_DEGs.txt (expected)	Crl02vSal02_NegFC_DEGs.txt (over/under)	Crl02vSal02_NegFC_DEGs.txt (fold Enrichment)	Crl02vSal02_NegFC_DEGs.txt (raw P-value)	Crl02vSal02_NegFC_DEGs.txt (FDR)
toll-like receptor 10 signaling pathway (GO:0034166)	1	1	.01	+	80.59	2.44E-02	1.00E00
rhombomere 5 formation (GO:0021666)	1	1	.01	+	80.59	2.44E-02	1.00E00
rhombomere 5 structural organization (GO:0021665)	1	1	.01	+	80.59	2.44E-02	1.00E00
rhombomere 5 morphogenesis (GO:0021664)	1	1	.01	+	80.59	2.44E-02	1.00E00
rhombomere 3 formation (GO:0021660)	1	1	.01	+	80.59	2.44E-02	1.00E00
rhombomere 3 structural organization (GO:0021659)	1	1	.01	+	80.59	2.44E-02	1.00E00
rhombomere 3 morphogenesis (GO:0021658)	1	1	.01	+	80.59	2.44E-02	1.00E00
mast cell differentiation (GO:0060374)	1	1	.01	+	80.59	2.44E-02	1.00E00
rhombomere structural organization (GO:0021595)	1	1	.01	+	80.59	2.44E-02	1.00E00
rhombomere formation (GO:0021594)	1	1	.01	+	80.59	2.44E-02	1.00E00
rhombomere morphogenesis (GO:0021593)	1	1	.01	+	80.59	2.44E-02	1.00E00
rhombomere 5 development (GO:0021571)	1	1	.01	+	80.59	2.44E-02	1.00E00
negative regulation of glial cell-derived neurotrophic factor receptor signaling pathway involved in ureteric bud formation (GO:2000734)	1	1	.01	+	80.59	2.44E-02	1.00E00
regulation of glial cell-derived neurotrophic factor receptor signaling pathway involved in ureteric bud formation (GO:2000733)	1	1	.01	+	80.59	2.44E-02	1.00E00
negative regulation of fibroblast growth factor receptor signaling pathway involved in ureteric bud formation (GO:2000703)	1	1	.01	+	80.59	2.44E-02	1.00E00
regulation of fibroblast growth factor receptor signaling pathway involved in ureteric bud formation (GO:2000702)	1	1	.01	+	80.59	2.44E-02	1.00E00
selenium compound metabolic process (GO:0001887)	1	1	.01	+	80.59	2.44E-02	1.00E00
regulation of cellular response to X-ray (GO:2000683)	1	1	.01	+	80.59	2.44E-02	1.00E00
positive regulation of ureteric bud formation (GO:0072107)	1	1	.01	+	80.59	2.44E-02	1.00E00
regulation of ureteric bud formation (GO:0072106)	1	1	.01	+	80.59	2.44E-02	1.00E00
positive regulation of thyroid hormone generation (GO:2000611)	1	1	.01	+	80.59	2.44E-02	1.00E00
regulation of thyroid hormone generation (GO:2000609)	1	1	.01	+	80.59	2.44E-02	1.00E00
negative regulation of cell proliferation involved in mesonephros development (GO:2000607)	1	1	.01	+	80.59	2.44E-02	1.00E00
regulation of cell proliferation involved in mesonephros development (GO:2000606)	1	1	.01	+	80.59	2.44E-02	1.00E00
primary adaptive immune response involving T cells and B cells (GO:0090721)	1	1	.01	+	80.59	2.44E-02	1.00E00
primary adaptive immune response (GO:0090720)	1	1	.01	+	80.59	2.44E-02	1.00E00
thromboxane A2 signaling pathway (GO:0038193)	1	1	.01	+	80.59	2.44E-02	1.00E00
interleukin-33-mediated signaling pathway (GO:0038172)	1	1	.01	+	80.59	2.44E-02	1.00E00
positive regulation of glycoprotein biosynthetic process involved in immunological synapse formation (GO:2000526)	1	1	.01	+	80.59	2.44E-02	1.00E00
chemokine (C-C motif) ligand 19 signaling pathway (GO:0038115)	1	1	.01	+	80.59	2.44E-02	1.00E00
regulation of astrocyte chemotaxis (GO:2000458)	1	1	.01	+	80.59	2.44E-02	1.00E00
positive regulation of Schwann cell differentiation (GO:0014040)	1	1	.01	+	80.59	2.44E-02	1.00E00
regulation of Schwann cell differentiation (GO:0014038)	1	1	.01	+	80.59	2.44E-02	1.00E00
negative regulation of L-glutamate import across plasma membrane (GO:0002037)	1	1	.01	+	80.59	2.44E-02	1.00E00
cellular response to sucrose stimulus (GO:0071329)	1	1	.01	+	80.59	2.44E-02	1.00E00
cellular response to disaccharide stimulus (GO:0071324)	1	1	.01	+	80.59	2.44E-02	1.00E00
positive regulation of telomeric RNA transcription from RNA pol II promoter (GO:1901582)	1	1	.01	+	80.59	2.44E-02	1.00E00
negative regulation of telomeric RNA transcription from RNA pol II promoter (GO:1901581)	1	1	.01	+	80.59	2.44E-02	1.00E00
regulation of telomeric RNA transcription from RNA pol II promoter (GO:1901580)	1	1	.01	+	80.59	2.44E-02	1.00E00
regulation of cysteine metabolic process (GO:1901494)	1	1	.01	+	80.59	2.44E-02	1.00E00
regulation of glutamate receptor clustering (GO:0106104)	1	1	.01	+	80.59	2.44E-02	1.00E00
negative regulation of positive chemotaxis (GO:0050928)	1	1	.01	+	80.59	2.44E-02	1.00E00
response to sucrose (GO:0009744)	1	1	.01	+	80.59	2.44E-02	1.00E00
cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000448)	1	1	.01	+	80.59	2.44E-02	1.00E00
paraxial mesoderm formation (GO:0048341)	1	1	.01	+	80.59	2.44E-02	1.00E00
ureter maturation (GO:0035799)	1	1	.01	+	80.59	2.44E-02	1.00E00
regulation of sulfur amino acid metabolic process (GO:0031335)	1	1	.01	+	80.59	2.44E-02	1.00E00
regulation of AMPA glutamate receptor clustering (GO:1904717)	1	1	.01	+	80.59	2.44E-02	1.00E00
